,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,finish_time,win_odds,race_id
28,1,7.0,JUST MISTERE,P012,D Whyte,Y S Tsui,130,1147,8,-,7.0,7.0,1.0,1.09.97,7.1,2014-002
29,2,11.0,MASSIVE,P331,K C Leung,L Ho,117,1073,10,1-1/4,2.0,2.0,2.0,1.10.17,7.4,2014-002
30,3,10.0,SHANGHAI PIONEER,L252,C Reith,D E Ferraris,120,1072,7,1-3/4,9.0,8.0,3.0,1.10.24,82,2014-002
31,4,12.0,POSITIVE ENERGY,P011,J Moreira,P F Yiu,115,1161,13,2,3.0,3.0,4.0,1.10.31,5.7,2014-002
32,5,6.0,KING ON EARTH,L251,H W Lai,A Lee,129,1084,14,2-1/2,11.0,10.0,5.0,1.10.39,58,2014-002
33,6,14.0,JUST GOOD,L133,W M Lai,Y S Tsui,113,1116,3,2-1/2,12.0,11.0,6.0,1.10.39,44,2014-002
34,7,4.0,MONEY CAFE,S031,Y T Cheng,C H Yip,132,1103,2,4-1/4,8.0,9.0,7.0,1.10.64,19,2014-002
35,8,9.0,FLYING KEEPER,M191,C K Tong,C Fownes,122,1071,11,4-3/4,13.0,13.0,8.0,1.10.74,36,2014-002
36,9,8.0,SUPER TEAM,M036,C Y Ho,A T Millard,128,1147,6,6-1/4,10.0,12.0,9.0,1.10.96,83,2014-002
37,10,3.0,CALIFORNIA ROCK,S233,M Chadwick,A S Cruz,132,1198,5,7,1.0,1.0,10.0,1.11.11,6,2014-002
38,11,5.0,JOYFUL LUCK,M223,O Doleuze,C W Chang,131,1092,12,8-1/2,4.0,4.0,11.0,1.11.35,13,2014-002
39,12,2.0,SPARKLING SWORD,P256,Z Purton,K W Lui,133,1123,4,9,6.0,5.0,12.0,1.11.42,2.7,2014-002
40,13,1.0,ALLEY-OOP,P379,T H So,C W Chang,131,1167,9,9,14.0,14.0,13.0,1.11.43,99,2014-002
41,14,13.0,AMERICAN FAME,P449,K Teetan,C S Shum,114,1045,1,12-1/2,5.0,6.0,14.0,1.11.96,99,2014-002
42,1,5.0,GOLDEN HARVEST,N236,J Moreira,A T Millard,115,1179,11,-,7.0,6.0,1.0,1.08.37,7.9,2014-003
43,2,8.0,SMART VOLATILITY,P049,Y T Cheng,K W Lui,113,1180,5,N,5.0,3.0,2.0,1.08.44,6.6,2014-003
44,3,7.0,PENIAPHOBIA,S143,M Chadwick,A S Cruz,113,1110,2,1,1.0,1.0,3.0,1.08.55,6.2,2014-003
45,4,6.0,LORD SINCLAIR,N447,H W Lai,S Woods,111,1170,9,3-3/4,9.0,8.0,4.0,1.08.99,41,2014-003
46,5,2.0,CHARLES THE GREAT,N171,C Reith,J Moore,131,1090,3,4-1/4,6.0,7.0,5.0,1.09.05,17,2014-003
47,6,11.0,BEST ELEVEN,N016,K C Leung,A S Cruz,113,1100,4,4-1/2,4.0,5.0,6.0,1.09.09,93,2014-003
